DivisionName,CreationDate,textbox2,textbox4,PricewithDiscount,sumWeight,Textbox14,textbox5,PricewithDiscount1,sumWeight1
"TOO ""PARCEL DELIVERY SERVICES""",17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
"TOO ""PARCEL DELIVERY SERVICES""",18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
"TOO ""PARCEL DELIVERY SERVICES""",19.02.2021,3,"2 385,00","1 316,00","0,30",3491,"4 193 909,34","3 182 098,82","12949,70"
"TOO ""PARCEL DELIVERY SERVICES""",20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
"TOO ""PARCEL DELIVERY SERVICES""",21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
"TOO ""PARCEL DELIVERY SERVICES""",22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
"TOO ""PARCEL DELIVERY SERVICES""",23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
"TOO ""PARCEL DELIVERY SERVICES""",24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
"TOO ""PARCEL DELIVERY SERVICES""",25.02.2021,,,,,4005,"4 197 883,82","3 048 461,47","10063,78"
"TOO ""PARCEL DELIVERY SERVICES""",26.02.2021,5,"3 345,00","2 051,00","1,30",3923,"4 372 380,84","3 262 106,20","18305,83"
"TOO ""PARCEL DELIVERY SERVICES""",27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
"TOO ""PARCEL DELIVERY SERVICES""",28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
UPS,01.02.2021,5,"46 049,79","45 079,74","2,25",3525,"4 017 060,79","3 086 523,40","7559,22"
UPS,02.02.2021,1,"13 859,60","13 859,60","0,25",3920,"4 290 014,12","3 159 794,75","7989,82"
UPS,03.02.2021,1,"6 578,82","6 578,82","0,84",3671,"3 902 609,45","2 879 357,23","7921,78"
UPS,04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
UPS,05.02.2021,,,,,4240,"4 197 433,60","3 188 895,92","7769,89"
UPS,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
UPS,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
UPS,08.02.2021,,,,,3419,"3 055 828,95","2 150 854,84","8595,76"
UPS,09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
UPS,10.02.2021,1,"3 958,80","3 958,80","0,25",3556,"3 774 267,47","2 694 716,58","8195,63"
UPS,11.02.2021,,,,,3430,"3 510 806,01","2 561 886,42","6278,32"
UPS,12.02.2021,,,,,3170,"3 694 458,78","2 663 795,69","6910,90"
UPS,13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
UPS,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
UPS,15.02.2021,2,"14 533,39","12 916,64","1,00",3545,"3 990 950,05","2 822 111,89","9054,02"
UPS,16.02.2021,,,,,3665,"3 712 329,56","2 761 120,47","7860,97"
UPS,17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
UPS,18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
UPS,19.02.2021,2,"15 573,80","15 573,80","0,50",3491,"4 193 909,34","3 182 098,82","12949,70"
UPS,20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
UPS,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
UPS,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
UPS,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
UPS,24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
UPS,25.02.2021,,,,,4005,"4 197 883,82","3 048 461,47","10063,78"
UPS,26.02.2021,,,,,3923,"4 372 380,84","3 262 106,20","18305,83"
UPS,27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
UPS,28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
АБАКАН,01.02.2021,1,"2 089,00","1 253,40","0,50",3525,"4 017 060,79","3 086 523,40","7559,22"
АБАКАН,02.02.2021,1,"2 089,00","1 211,62","0,15",3920,"4 290 014,12","3 159 794,75","7989,82"
АБАКАН,03.02.2021,,,,,3671,"3 902 609,45","2 879 357,23","7921,78"
АБАКАН,04.02.2021,,,,,4051,"4 083 924,05","2 876 229,86","10036,64"
АБАКАН,05.02.2021,,,,,4240,"4 197 433,60","3 188 895,92","7769,89"
АБАКАН,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
АБАКАН,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
АБАКАН,08.02.2021,,,,,3419,"3 055 828,95","2 150 854,84","8595,76"
АБАКАН,09.02.2021,,,,,3764,"3 943 590,97","2 904 738,55","6915,60"
АБАКАН,10.02.2021,1,"3 172,00","2 696,20","0,90",3556,"3 774 267,47","2 694 716,58","8195,63"
АБАКАН,11.02.2021,4,"12 220,90","9 409,90","1,63",3430,"3 510 806,01","2 561 886,42","6278,32"
АБАКАН,12.02.2021,1,"2 919,00","2 919,00","0,24",3170,"3 694 458,78","2 663 795,69","6910,90"
АБАКАН,13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
АБАКАН,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
АБАКАН,15.02.2021,,,,,3545,"3 990 950,05","2 822 111,89","9054,02"
АБАКАН,16.02.2021,,,,,3665,"3 712 329,56","2 761 120,47","7860,97"
АБАКАН,17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
АБАКАН,18.02.2021,,,,,3317,"3 601 028,28","2 621 546,50","8063,76"
АБАКАН,19.02.2021,,,,,3491,"4 193 909,34","3 182 098,82","12949,70"
АБАКАН,20.02.2021,,,,,2222,"2 443 982,10","1 767 092,08","6236,62"
АБАКАН,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
АБАКАН,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
АБАКАН,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
АБАКАН,24.02.2021,,,,,3791,"4 155 674,04","3 060 703,53","9504,86"
АБАКАН,25.02.2021,1,"600,00","600,00","0,84",4005,"4 197 883,82","3 048 461,47","10063,78"
АБАКАН,26.02.2021,1,"600,00","600,00","0,84",3923,"4 372 380,84","3 262 106,20","18305,83"
АБАКАН,27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
АБАКАН,28.02.2021,1,"2 089,00","1 253,40","0,10",134,"143 346,27","107 612,60","711,00"
АРХАНГЕЛЬСК,01.02.2021,5,"5 949,22","5 206,02","7,24",3525,"4 017 060,79","3 086 523,40","7559,22"
АРХАНГЕЛЬСК,02.02.2021,2,"2 277,60","2 277,60","0,55",3920,"4 290 014,12","3 159 794,75","7989,82"
АРХАНГЕЛЬСК,03.02.2021,1,"1 819,21","901,26","0,25",3671,"3 902 609,45","2 879 357,23","7921,78"
АРХАНГЕЛЬСК,04.02.2021,5,"11 002,06","9 666,93","16,81",4051,"4 083 924,05","2 876 229,86","10036,64"
АРХАНГЕЛЬСК,05.02.2021,5,"5 582,40","5 582,40","1,55",4240,"4 197 433,60","3 188 895,92","7769,89"
АРХАНГЕЛЬСК,06.02.2021,1,"669,06","234,17","0,50",284,"199 947,80","110 782,76","699,25"
АРХАНГЕЛЬСК,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
АРХАНГЕЛЬСК,08.02.2021,13,"9 259,37","8 462,37","5,40",3419,"3 055 828,95","2 150 854,84","8595,76"
АРХАНГЕЛЬСК,09.02.2021,2,"1 339,00","1 339,00","0,65",3764,"3 943 590,97","2 904 738,55","6915,60"
АРХАНГЕЛЬСК,10.02.2021,2,"1 843,80","1 843,80","0,75",3556,"3 774 267,47","2 694 716,58","8195,63"
АРХАНГЕЛЬСК,11.02.2021,11,"13 092,10","10 048,93","13,42",3430,"3 510 806,01","2 561 886,42","6278,32"
АРХАНГЕЛЬСК,12.02.2021,9,"9 978,24","9 430,44","5,22",3170,"3 694 458,78","2 663 795,69","6910,90"
АРХАНГЕЛЬСК,13.02.2021,2,"2 068,06","933,67","0,33",300,"294 694,69","159 059,23","916,85"
АРХАНГЕЛЬСК,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
АРХАНГЕЛЬСК,15.02.2021,11,"13 553,77","10 925,12","8,20",3545,"3 990 950,05","2 822 111,89","9054,02"
АРХАНГЕЛЬСК,16.02.2021,2,"3 093,20","3 093,20","1,10",3665,"3 712 329,56","2 761 120,47","7860,97"
АРХАНГЕЛЬСК,17.02.2021,9,"11 519,81","9 520,81","9,21",3221,"3 437 164,11","2 582 923,12","7286,01"
АРХАНГЕЛЬСК,18.02.2021,7,"13 817,32","10 163,99","18,52",3317,"3 601 028,28","2 621 546,50","8063,76"
АРХАНГЕЛЬСК,19.02.2021,6,"8 308,08","6 986,48","9,39",3491,"4 193 909,34","3 182 098,82","12949,70"
АРХАНГЕЛЬСК,20.02.2021,4,"3 512,06","2 567,17","3,30",2222,"2 443 982,10","1 767 092,08","6236,62"
АРХАНГЕЛЬСК,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
АРХАНГЕЛЬСК,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
АРХАНГЕЛЬСК,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
АРХАНГЕЛЬСК,24.02.2021,10,"15 827,52","13 142,36","24,20",3791,"4 155 674,04","3 060 703,53","9504,86"
АРХАНГЕЛЬСК,25.02.2021,5,"4 029,52","3 059,03","3,50",4005,"4 197 883,82","3 048 461,47","10063,78"
АРХАНГЕЛЬСК,26.02.2021,1,"1 762,80","1 762,80","3,50",3923,"4 372 380,84","3 262 106,20","18305,83"
АРХАНГЕЛЬСК,27.02.2021,1,"669,06","234,17","0,30",230,"227 671,94","124 139,25","909,26"
АРХАНГЕЛЬСК,28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
АСТРАХАНЬ,01.02.2021,12,"19 496,91","14 764,45","27,89",3525,"4 017 060,79","3 086 523,40","7559,22"
АСТРАХАНЬ,02.02.2021,3,"4 364,02","2 930,47","5,32",3920,"4 290 014,12","3 159 794,75","7989,82"
АСТРАХАНЬ,03.02.2021,13,"17 960,01","12 854,31","28,68",3671,"3 902 609,45","2 879 357,23","7921,78"
АСТРАХАНЬ,04.02.2021,9,"10 716,52","8 398,82","8,00",4051,"4 083 924,05","2 876 229,86","10036,64"
АСТРАХАНЬ,05.02.2021,5,"12 413,48","10 425,64","16,65",4240,"4 197 433,60","3 188 895,92","7769,89"
АСТРАХАНЬ,06.02.2021,,,,,284,"199 947,80","110 782,76","699,25"
АСТРАХАНЬ,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
АСТРАХАНЬ,08.02.2021,9,"11 508,21","7 232,46","34,35",3419,"3 055 828,95","2 150 854,84","8595,76"
АСТРАХАНЬ,09.02.2021,8,"13 988,80","11 601,25","16,40",3764,"3 943 590,97","2 904 738,55","6915,60"
АСТРАХАНЬ,10.02.2021,8,"11 456,16","8 759,72","30,93",3556,"3 774 267,47","2 694 716,58","8195,63"
АСТРАХАНЬ,11.02.2021,8,"10 155,82","6 521,88","4,02",3430,"3 510 806,01","2 561 886,42","6278,32"
АСТРАХАНЬ,12.02.2021,3,"3 385,92","2 813,52","0,40",3170,"3 694 458,78","2 663 795,69","6910,90"
